# shader	sampler	binding (set=0; binding=unit+1)
Advanced/Blend/Basic.frag	textureSampler	1
Advanced/CullFace/Basic.frag	textureSampler	1
Advanced/DepthTest/Basic.frag	textureSampler	1
Advanced/FrameBuffer/Basic.frag	textureSampler	1
Advanced/FrameBuffer/Screen.frag	textureSampler	1
Advanced/GLSL/Cube.frag	textureSampler	1
Advanced/Instance/Rock.frag	texture_diffuse1	1
Advanced/Instance/Saturn.frag	texture_diffuse1	1
Advanced/MSAA/Cube.frag	textureSampler	1
Advanced/MSAA/Post.frag	textureSampler	1
Advanced/PBR/IBL_IC/Background.frag	environmentMap	1
Advanced/PBR/IBL_IC/CUBE.frag	equirectangularMap	1
Advanced/PBR/IBL_Irradiance/Background.frag	environmentMap	1
Advanced/PBR/IBL_Irradiance/CUBE.frag	equirectangularMap	1
Advanced/PBR/IBL_Irradiance/Irradiance.frag	environmentMap	1
Advanced/PBR/IBL_Irradiance/PBR.frag	irradianceMap	1
Advanced/PBR/IBL_Specular/Background.frag	environmentMap	1
Advanced/PBR/IBL_Specular/CUBE.frag	equirectangularMap	1
Advanced/PBR/IBL_Specular/Irradiance.frag	environmentMap	1
Advanced/PBR/IBL_Specular/PBR.frag	brdfLUT	2
Advanced/PBR/IBL_Specular/PBR.frag	irradianceMap	3
Advanced/PBR/IBL_Specular/PBR.frag	prefilterMap	1
Advanced/PBR/IBL_Specular/Prefilter.frag	environmentMap	1
Advanced/PBR/Texture/PBR.frag	albedoMap	1
Advanced/PBR/Texture/PBR.frag	aoMap	5
Advanced/PBR/Texture/PBR.frag	metallicMap	3
Advanced/PBR/Texture/PBR.frag	normalMap	2
Advanced/PBR/Texture/PBR.frag	roughnessMap	4
Advanced/SkyBox/Cube.frag	skyBoxSampler	2
Advanced/SkyBox/Cube.frag	textureSampler	1
Advanced/SkyBox/SkyBox.frag	skybox	1
Advanced/TemplateTest/Basic.frag	textureSampler	1
Base/Cube.frag	textureSampler	1
Base/SimpleTexture.frag	textureSampler	1
Light/Advanced/BlinnPhong/Object.frag	textureSampler	1
Light/Advanced/Bloom/Bloom.frag	diffuseTexture	1
Light/Advanced/Bloom/Blur.frag	image	1
Light/Advanced/Bloom/Final.frag	bloomBlur	2
Light/Advanced/Bloom/Final.frag	scene	1
Light/Advanced/Defer/GBuffer.frag	diffuseTexture	1
Light/Advanced/Defer/Light.frag	gAlbedoSpec	3
Light/Advanced/Defer/Light.frag	gNormal	2
Light/Advanced/Defer/Light.frag	gPosition	1
Light/Advanced/Gamma/Object.frag	textureSampler	1
Light/Advanced/Hdr/Hdr.frag	hdrBuffer	1
Light/Advanced/Hdr/Lighting.frag	diffuseTexture	1
Light/Advanced/NormalMap/NormalMap.frag	diffuseMap	1
Light/Advanced/NormalMap/NormalMap.frag	normalMap	2
Light/Advanced/ParallaxMap/ParallaxMap.frag	depthMap	3
Light/Advanced/ParallaxMap/ParallaxMap.frag	diffuseMap	1
Light/Advanced/ParallaxMap/ParallaxMap.frag	normalMap	2
Light/Advanced/PointLightShadow/ShadowMapping.frag	depthMap	2
Light/Advanced/PointLightShadow/ShadowMapping.frag	diffuseTexture	1
Light/Advanced/SSAO/Light.frag	gAlbedo	3
Light/Advanced/SSAO/Light.frag	gNormal	2
Light/Advanced/SSAO/Light.frag	gPosition	1
Light/Advanced/SSAO/Light.frag	ssao	4
Light/Advanced/SSAO/SSAO.frag	gNormal	2
Light/Advanced/SSAO/SSAO.frag	gPosition	1
Light/Advanced/SSAO/SSAO.frag	texNoise	3
Light/Advanced/SSAO/SSAOBlur.frag	ssaoInput	1
Light/Advanced/Shadow/DebugQuand.frag	depthMap	1
Light/Advanced/Shadow/ShadowMapping.frag	diffuseTexture	1
Light/Advanced/Shadow/ShadowMapping.frag	shadowMap	2
Light/Advanced/ShadowMap/Depth.frag	textureSampler	1
Light/LightMap/Object.frag	diffuseMap	1
Light/LightMap/Object.frag	specularMap	2
Model/model.frag	texture_diffuse1	1
